IdSAF	IdUsuarioSectorialista
2305	3444
2306	3450
2308	3439
2308	3439
2308	3439
2310	3439
2310	3439
2310	3439
2310	3439
2310	3439
2310	3439
2310	3439
2310	3439
2310	3439
2311	3439
2311	3439
2311	3439
2311	3439
2311	3439
2312	3438
2312	3438
2312	3438
2312	3438
2312	3438
2312	3438
2312	3438
2312	3438
2313	3446
2314	3444
2316	3439
2316	3439
2317	3450
2318	3441
2319	3444
2319	3444
2319	3444
2319	3444
2319	3444
2319	3444
2319	3444
2320	3450
2321	3450
2322	3441
2323	3438
2333	3444
2334	3441
2335	3441
2336	3446
2336	3446
2338	3444
2340	3444
2340	3444
2340	3444
2340	3444
2340	3444
2340	3444
2340	3444
2340	3444
2341	3438
2342	3444
2342	3444
2342	3444
2342	3444
2342	3444
2342	3444
2342	3444
2344	3438
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2346	3444
2347	3444
2347	3444
2347	3444
2347	3444
2347	3444
2347	3444
2347	3444
2347	3444
2347	3444
2347	3444
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2349	3438
2350	3441
2350	3441
2350	3441
2350	3441
2350	3441
2350	3441
2350	3441
2350	3441
2350	3441
2350	3441
2353	3444
2354	3444
2355	3444
2356	3438
2356	3438
2356	3438
2356	3438
2356	3438
2356	3438
2356	3438
2358	3444
2359	3444
2359	3444
2359	3444
2359	3444
2359	3444
2360	3441
2360	3441
2360	3441
2360	3441
2361	3438
2361	3438
2361	3438
2361	3438
2361	3438
2361	3438
2361	3438
2361	3438
2362	3441
2362	3441
2364	3438
2364	3438
2364	3438
2364	3438
2364	3438
2364	3438
2364	3438
2366	3439
2366	3439
2366	3439
2366	3439
2366	3439
2366	3439
2366	3439
2366	3439
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2368	3450
2369	3438
2369	3438
2369	3438
2369	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2370	3438
2371	3438
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2372	3444
2373	3439
2373	3439
2373	3439
2373	3439
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2374	3450
2375	3444
2376	3444
2377	3441
2377	3441
2377	3441
2377	3441
2377	3441
2378	3438
2378	3438
2378	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2379	3438
2381	3441
2381	3441
2382	3444
2384	3444
2384	3444
2384	3444
2384	3444
2384	3444
2384	3444
2384	3444
2384	3444
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
2386	3450
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
1671	3441
2390	3444
2390	3444
2390	3444
2391	3444
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2392	3441
2393	3449
2393	3449
2393	3449
2393	3449
2393	3449
2393	3449
2393	3449
2393	3449
2393	3449
2393	3449
2394	3444
2394	3444
2394	3444
2394	3444
2394	3444
2394	3444
2394	3444
2394	3444
2395	3438
2395	3438
2395	3438
2395	3438
2396	3438
2396	3438
2396	3438
2396	3438
2396	3438
2396	3438
2396	3438
2396	3438
2396	3438
2397	3438
2398	3438
2398	3438
2398	3438
2398	3438
2398	3438
2398	3438
2398	3438
2399	3438
2399	3438
2399	3438
2399	3438
2399	3438
2399	3438
2399	3438
2400	3438
2402	3438
2402	3438
2402	3438
2402	3438
2402	3438
2402	3438
2403	3438
2403	3438
2403	3438
2403	3438
2403	3438
2403	3438
2403	3438
2404	3438
2404	3438
2404	3438
2404	3438
2404	3438
2404	3438
2404	3438
2404	3438
2404	3438
2405	3438
2405	3438
2405	3438
2409	3438
2410	3438
2411	3438
2412	3438
2414	3439
2419	3442
2421	3446
2425	3441
2426	3441
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2427	3448
2428	3449
2428	3449
2428	3449
2429	3449
2430	3439
2430	3439
2430	3439
2431	3449
2433	3444
2434	3446
2434	3446
2435	3449
2436	3444
2439	3449
2439	3449
2439	3449
2439	3449
2439	3449
2439	3449
2439	3449
2439	3449
2439	3449
2440	3449
2440	3449
2440	3449
2441	3450
2441	3450
2441	3450
2441	3450
2441	3450
2442	3439
2447	3446
2447	3446
2450	3446
2450	3446
2454	3446
2454	3446
2455	3438
2456	3446
2460	3442
2463	3444
2465	3444
2466	3446
2467	3444
2471	3444
2472	3444
2475	3446
2485	3444
2486	3446
2490	3446
2492	3446
2499	3439
2502	3450
2503	3450
2504	3450
2505	3450
2546	3438
2546	3438
2548	3444
2563	3444
2564	3438
2565	3438
2566	3438
2567	3438
2568	3438
2569	3438
2570	3438
2571	3438
2572	3438
2572	3438
2572	3438
2572	3438
2572	3438
2572	3438
2573	3438
2575	3438
2575	3438
2575	3438
2576	3444
2598	3444
2599	3444
2601	3444
2601	3444
2601	3444
2601	3444
2601	3444
2601	3444
2601	3444
2601	3444
